Processing SITE: wnv5a0cscf0001c
Excel: Set 'ParameterName' = 'Warrenville 5 vCSCF-Core 1'
Excel: Started group cfx
Excel: Started group cfx/OfflineParameter
Excel: Set 'cfx/OfflineParameter/Versioning.ApsName' = 'IMSCL24071186.000'
Excel: Set 'cfx/OfflineParameter/IMSTrafficModel' = 'custom'
Excel: Set 'cfx/OfflineParameter/DnsOverCoreLan' = 'true'
Excel: Set 'cfx/OfflineParameter/RtpTicWriteEmptyFiles' = '0'
Excel: Set 'cfx/OfflineParameter/RtpTicCompressionMethod' = '1'
Excel: Set 'cfx/OfflineParameter/SshMaxAuthTries' = '6'
Excel: Set 'cfx/OfflineParameter/SshAccountLockingPeriod' = '0'
Excel: Set 'cfx/OfflineParameter/SshSshLoginGraceTime' = '30'
Excel: Set 'cfx/OfflineParameter/SshAutoTimeoutShell' = '7200'
Excel: Set 'cfx/OfflineParameter/SshDelayAuthFail' = '2'
Excel: Set 'cfx/OfflineParameter/SshDisableRootLogin' = 'y'
Excel: Set 'cfx/OfflineParameter/CrdbEnvoyGRSiteValue' = 'n/a'
Excel: Set 'cfx/OfflineParameter/CrdbEnvoyLocalSiteId' = 'n/a'
Excel: Set 'cfx/OfflineParameter/CrdbEnvoyExtGateway' = 'n/a'
Excel: Set 'cfx/OfflineParameter/Dnsserveripaddress' = '2001:1890:1001:2224::1'
Excel: Set 'cfx/OfflineParameter/Dnsserveripaddress2' = '2001:1890:1001:2424::1'
Excel: Set 'cfx/OfflineParameter/Dnsserveripaddress3' = 'n/a'
Excel: Set 'cfx/OfflineParameter/Dnsserveripaddress4' = 'n/a'
Excel: Set 'cfx/OfflineParameter/Dnsserveripaddress5' = 'n/a'
Excel: Set 'cfx/OfflineParameter/HTTPDnsserveripaddress' = 'n/a'
Excel: Set 'cfx/OfflineParameter/HTTPDnsserveripaddress2' = 'n/a'
Excel: Set 'cfx/OfflineParameter/HTTPDnsserveripaddress3' = 'n/a'
Excel: Set 'cfx/OfflineParameter/HTTPDnsserveripaddress4' = 'n/a'
Excel: Set 'cfx/OfflineParameter/HTTPDnsserveripaddress5' = 'n/a'
Excel: Set 'cfx/OfflineParameter/Protocol.MTU' = '1450'
Excel: Set 'cfx/OfflineParameter/System.MaximumSIPHeadersSize' = '10240'
Excel: Set 'cfx/OfflineParameter/System.MaximumSIPBodySize' = '64000'
Excel: Set 'cfx/OfflineParameter/System.EnableSauCounting' = 'false'
Excel: Set 'cfx/OfflineParameter/System.EnablePbxSauCounting' = 'false'
Excel: Set 'cfx/OfflineParameter/System.NumberOfRegistrations' = '1000'
Excel: Set 'cfx/OfflineParameter/System.IMSAKAWithoutIPSec' = '0'
Excel: Set 'cfx/OfflineParameter/System.EnableASPoolCounter' = 'false'
Excel: Set 'cfx/OfflineParameter/System.ReasonHeaderVarient' = 'Off'
Excel: Set 'cfx/OfflineParameter/System.IncludeWCImpuInRegRes' = 'false'
Excel: Set 'cfx/OfflineParameter/System.PhoneNumbersTableSearchAlgo' = 'LongestPrefixMatch'
Excel: Set 'cfx/OfflineParameter/System.FBTrunkGroupTblMaxRows' = '0'
Excel: Set 'cfx/OfflineParameter/System.FBMGCFPoolTblMaxRows' = '0'
Excel: Set 'cfx/OfflineParameter/System.LeastCostRouting' = 'DISABLE'
Excel: Set 'cfx/OfflineParameter/System.FBRoutingGroupsMaxRows' = '0'
Excel: Set 'cfx/OfflineParameter/System.RealTimeTracing' = 'DISABLE'
Excel: Set 'cfx/OfflineParameter/System.H2PEnabled' = 'false'
Excel: Set 'cfx/OfflineParameter/System.NumOfCarriersPerTier' = '5'
Excel: Set 'cfx/OfflineParameter/System.NumOfTiersPerRoutingGroup' = '2'
Excel: Set 'cfx/OfflineParameter/System.Store5GInfoToRegData' = 'false'
Excel: Set 'cfx/OfflineParameter/System.SBIIngressAddress' = 'n/a'
Excel: Set 'cfx/OfflineParameter/System.ExtendedContactSupport' = '0'
Excel: Set 'cfx/OfflineParameter/System.H2IEnabled' = 'false'
Excel: Set 'cfx/OfflineParameter/NodeMonitoring.MaxMonitoredNodes' = '1000'
Excel: Set 'cfx/OfflineParameter/Charging.Offline.RfMeaningOfCCFAddress' = 'realm'
Excel: Set 'cfx/OfflineParameter/Charging.Offline.RfVariant' = 'Default'
Excel: Set 'cfx/OfflineParameter/Charging.Offline.BufferedACRInterfaceOption' = 'Diameter'
Excel: Set 'cfx/OfflineParameter/Charging.Offline.IncreaseContextBlockSize' = 'false'
Excel: Set 'cfx/OfflineParameter/Ovl.ContextTypesTimer' = '600000'
Excel: Set 'cfx/OfflineParameter/Ovl.InitialOverloadTimeout' = '0'
Excel: Set 'cfx/OfflineParameter/Ovl.RegistrationTimeout' = '65000'
Excel: Set 'cfx/OfflineParameter/scalars.SSLOptionsIe' = '0x00000840L'
Excel: Set 'cfx/OfflineParameter/scalars.SSLOptionsFf' = '0x03000000L'
Excel: Set 'cfx/OfflineParameter/scalars.overloadThreshold.HTTPSV' = '5'
Excel: Set 'cfx/OfflineParameter/System.MaxForwardsUpperLimit.STIVS' = '70'
Excel: Set 'cfx/OfflineParameter/System.SipSupportedExtensions.STIVS' = 'path 100rel pref gruu resource-priority'
Excel: Set 'cfx/OfflineParameter/System.AllowMaxMMservices.STIVS' = '15'
Excel: Set 'cfx/OfflineParameter/System.MonitorMMServices.STIVS' = 'true'
Excel: Set 'cfx/OfflineParameter/scalars.overloadThreshold.HTTPCL' = '6'
Excel: Set 'cfx/OfflineParameter/scalars.minMessageLength' = '16'
Excel: Set 'cfx/OfflineParameter/scalars.maxMessageLength' = '30000'
Excel: Set 'cfx/OfflineParameter/System.DnsEnumSuffix' = 'e164.arpa'
Excel: Set 'cfx/OfflineParameter/System.DnsPhFallback' = 'true'
Excel: Set 'cfx/OfflineParameter/System.OptimizeIPsecTcp' = 'true'
Excel: Set 'cfx/OfflineParameter/System.DataStoreConnProtocol' = 'IPv4'
Excel: Set 'cfx/OfflineParameter/System.DataStoreVNFIdentifier' = 'wnv5a0cscf0001c'
Excel: Set 'cfx/OfflineParameter/System.NumberOfTDCoreElements' = '6'
Excel: Set 'cfx/OfflineParameter/System.EnableVNFRedundancy' = 'false'
Excel: Set 'cfx/OfflineParameter/System.VNFZoneName' = 'n/a'
Excel: Set 'cfx/OfflineParameter/System.MonitoredVNFList' = 'n/a'
Excel: Set 'cfx/OfflineParameter/System.VNFFailoverTimeout' = '12'
Excel: Set 'cfx/OfflineParameter/System.EncryptInternalTraffic' = '0'
Excel: Set 'cfx/OfflineParameter/System.DynDnsTtl' = '10'
Excel: Set 'cfx/OfflineParameter/System.BFDSourceIp' = 'n/a'
Excel: Set 'cfx/OfflineParameter/System.BFDHopMode' = '1'
Excel: Set 'cfx/OfflineParameter/System.DynDnsHostName' = 'n/a'
Excel: Set 'cfx/OfflineParameter/System.UseMultipleDiaConnectionsOnVnfFailover' = 'false'
Excel: Set 'cfx/OfflineParameter/System.SipCoreKeepAliveEnable' = 'false'
Excel: Set 'cfx/OfflineParameter/System.PreferredTlsTransportOnCore' = 'false'
Excel: Set 'cfx/OfflineParameter/System.EnableSrvInmTlsPortDir' = 'false'
Excel: Set 'cfx/OfflineParameter/System.EnablePcap' = 'false'
Excel: Set 'cfx/OfflineParameter/System.CfxTestmodeEnabled' = 'true'
Excel: Set 'cfx/OfflineParameter/System.SrvccCorrelation' = '0'
Excel: Set 'cfx/OfflineParameter/System.EnableTcpForceClose' = 'false'
Excel: Set 'cfx/OfflineParameter/System.FullCacheToDBSyncFrequency' = '2'
Excel: Set 'cfx/OfflineParameter/System.MaxDBOperationPending' = '1000'
Excel: Set 'cfx/OfflineParameter/System.EnableVNFFailoverOnDBFailure' = 'true'
Excel: Set 'cfx/OfflineParameter/System.BfdSrcPort' = '50000'
Excel: Set 'cfx/OfflineParameter/System.EnableCfxDashBoard' = 'true'
Excel: Set 'cfx/OfflineParameter/System.CTDVIPCount' = '4'
Excel: Set 'cfx/OfflineParameter/System.CfxDashboardDataPushInterval' = '60'
Excel: Set 'cfx/OfflineParameter/System.STISupportEnabled' = 'disabled'
Excel: Set 'cfx/OfflineParameter/System.DynDnsUpdateMethod' = '0'
Excel: Set 'cfx/OfflineParameter/System.DynDnsViewPath' = 'n/a'
Excel: Set 'cfx/OfflineParameter/System.SSTBasedOnDnT' = 'true'
Excel: Set 'cfx/OfflineParameter/System.DnsEnumAltSuffix' = 'n/a'
Excel: Set 'cfx/OfflineParameter/System.DnsUDPpayload' = '4096'
Excel: Set 'cfx/OfflineParameter/System.DnsPhCacheSize' = '102400'
Excel: Set 'cfx/OfflineParameter/System.DnsPhEnumCacheSize' = '1024000'
Excel: Set 'cfx/OfflineParameter/System.DnsRetryMechanism' = 'exponential'
Excel: Set 'cfx/OfflineParameter/System.HTTPDnsRetryMechanism' = 'exponential'
Excel: Set 'cfx/OfflineParameter/DiameterCommon.CscfType' = 'true'
Excel: Set 'cfx/OfflineParameter/DiameterCommon.PreferredDPDIpAddressType' = 'IPv6'
Excel: Set 'cfx/OfflineParameter/DiameterCommon.PreferredDPDTransportType' = 'TCP'
Excel: Set 'cfx/OfflineParameter/FtpPush.TicketType' = 'cdr'
Excel: Set 'cfx/OfflineParameter/System.MaxForwardsUpperLimit.NM' = '70'
Excel: Set 'cfx/OfflineParameter/LIAdminProtection' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.LISalesFeature' = 'true'
Excel: Set 'cfx/OfflineParameter/Srv.InterceptEmergencyCalls' = 'true'
Excel: Set 'cfx/OfflineParameter/Srv.InterceptTransitCalls' = 'true'
Excel: Set 'cfx/OfflineParameter/Srv.TargetDBSize' = '20000'
Excel: Set 'cfx/OfflineParameter/Srv.TargetDBHashTableSizeFactor' = '10'
Excel: Set 'cfx/OfflineParameter/Srv.TargetDBValidationPeriod' = '60'
Excel: Set 'cfx/OfflineParameter/Srv.TargetDBValidationOutageFactor' = '5'
Excel: Set 'cfx/OfflineParameter/Srv.X2AggregationTimer' = '100'
Excel: Set 'cfx/OfflineParameter/Srv.X2MaximumTicketSize' = '100'
Excel: Set 'cfx/OfflineParameter/Srv.X2Cipherlist' = 'rsa_des_sha'
